Company,Sector,Stage,Amount,Location,About,Funding Year
Wishup,Consumer Applications,Seed,1300000.0,Azadpur,Premium Personal Assistance service,2018
Hansel.Io,Mobile,Series A,4000000.0,Bengaluru,Hansel a mobile app management platform provides the infrastructure that companies need in order to personalize product experiences,2018
Propelld,Education,Seed,250000.0,Bengaluru,Propelld is a student education financing platform,2018
Pivotroots,Advertising,Series A,1300000.0,Mumbai,Digital Marketing powered by Data  Technology fueled by Design thinking,2018
Ziffyhomes,Marketplace,Seed,120000.0,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent,2018
Carmesi,Health Care,Seed,496400.0,Gurugram,Carmesi is a brand of highend menstrualhygiene products in India,2018
Ockypocky,E-Learning,Angel,1300000.0,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids,2018
Racetrack,Artificial Intelligence,Seed,4993200.0,Bengaluru,Racetrack is a sales and supportfocused AIdriven platform designed for education real estate and ecommerce sectors,2018
Whr,Health Care,Seed,143145.0,Pune,WHR is to make affordable healthcare a reality for all Our vision is to make healthcare services easier better and more accessible,2018
Asteria Aerospace,Aerospace,Seed,1300000.0,Bengaluru,Asteria Aerospace is a robotics and artificial intelligence company,2018
Faballey,E-Commerce,Series B,8760000.0,Noida,FabAlley is the ultimate Indian fashion destination for fashionforward indiechic girls Founded in 2012 Tanvi Malik and Shivani Poddar,2018
Tranzmeo,Artificial Intelligence,Pre-Seed,1300000.0,Cochin,Tranzmeo Connect  is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights,2018
Sbi Life,Insurance,Private Equity,742000000.0,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family,2018
Studds Accessories,E-Commerce,Private Equity,14600000.0,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018
Design Cafe,Home Decor,Series B,29200000.0,Bengaluru,Design  Execution Organization that delivers beautiful  innovative designs for Home Interiors in any budget,2018
Nopaperforms Solutions Pvt. Ltd.,Edtech,Series B,3980000.0,New Delhi,NoPaperForms is a marketing automation lead nurture and enrolment management platform for educational institutions,2018
Rays Power Infra,Energy,Seed,29200000.0,Jaipur,Rays Power Infra is a leading integrated Solar Power Company,2018
Authmetrik,B2B,Grant,10000.0,Gurugram,SaaS B2B Security Stop account sharing Fraud Detection,2018
Khidki,Artificial Intelligence,Seed,1300000.0,Bengaluru,Vernacular Social Network Focused on Town Level Content and Interactions,2018
Letstransport,Logistics,Series B,14600000.0,Bengaluru,Lets transport is a logistics solution provider,2018
Next Digital Solutions,Digital Marketing,Angel,1460.0,Kota,Next Digital Solutions is website design  Digital Marketing development company,2018
Portea Medical,Health Care,Debt Financing,3650000.0,Bengaluru,Portea Medical is the largest and fastest growing provider of inhome medical care in India today with a 24city network,2018
