Company,Sector,Stage,Amount,Location,About,Funding Year
Eduvanz,Finance,Angel Funding,500000.0,Mumbai,Eduvanz is new innovative finance company which is completely revolutionizing the student loan market,2018
Rupeek,Financial Services,Early Stage Funding,6830000.0,Bengaluru,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans,2018
Backpacker Panda Holidays Private Limited,Tourism,Early Stage Funding,1400000.0,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel,2018
Shape (School Health And Physical Education),Education,Seed and Pre-Seed Funding,200000.0,Pune,Physical education start up,2018
Placio,Hospitality,Seed and Pre-Seed Funding,2000000.0,Noida,Placio is a student housing and a complete brokerfree platform,2018
Aviom India Housing Finance,Finance,Early Stage Funding,2190000.0,New Delhi,Delhi based housing finance company,2018
Genrobotic,Market Research,Seed and Pre-Seed Funding,1300000.0,Trivandrum,A Robotic Company,2018
Heyholidays,Tourism,Seed and Pre-Seed Funding,1000000.0,Bengaluru,HeyHolidays a global player in online vacation rentals,2018
Pratilipi,Digital Media,Early Stage Funding,4300000.0,Bengaluru,Amazons Kindle Direct Publishing for Indian Languages,2018
Sectorqube,Consumer Electronics,Seed and Pre-Seed Funding,1300000.0,Ernakulam,SectorQube develops smart kitchen devices that make food automatically,2018
Food Memories,Food And Beverage,Seed and Pre-Seed Funding,1300000.0,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally,2018
Zamroo,Internet,Seed and Pre-Seed Funding,1300000.0,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally,2018
Silversparro Technologies Pvt. Ltd,Analytics,Seed and Pre-Seed Funding,300000.0,Gurugram,Silversparro is a deep learning technology solution provider,2018
Creator’S Gurukul,Facilities Support Services,Angel Funding,1300000.0,Gurugram,A coworking space provider,2018
Emflux Motors,Automotive,Seed and Pre-Seed Funding,364846.0,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation,2018
Tricog Health Services Pvt Ltd,Health Care,Early Stage Funding,4000000.0,Bengaluru,Predictive Healthcare Analytics Company,2018
Scapic,Cloud Computing,Seed and Pre-Seed Funding,500000.0,Bengaluru,VirtualAugmented Reality Start Up ,2018
6Degree,Fashion,Seed and Pre-Seed Funding,400000.0,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018
