Company,Location,Sector,About,Amount,Stage,Funding Year
DailyHunt,Bengaluru,Media,News aggregator,24000000.0,Series A,2020
NoBroker,Bengaluru,Real Estate,Online real estate rental startup,30000000.0,Series A,2020
Box8,Mumbai,Foodtech,Enables to order food online,4000000.0,Series A,2020
Capital Float,Bengaluru,Fintech,Online platform that provides working capital finance to SMEs,15000000.0,Series A,2020
ITILITE,Bengaluru,Travel & SaaS,Platform for business travel,13000000.0,Series B,2020
Morning Context,Singapore,Digital Media,A subscription-only digital media publisher,3000000.0,Seed Round,2020
Aavenir,Ahmedabad,SaaS,Source-to-Pay Software,2000000.0,Seed Round,2020
Savvy Co op,New York,Healthcare,It connects patients with healthcare companies,3000000.0,Series A,2020
BLive,Bengaluru,Tourism & EV,"It offers experiential, guided tours on smart electric bikes",3000000.0,Pre series A,2020
Yellow Messenger,Bengaluru,AI,It offers conversational chatbots,20000000.0,Series B,2020
Toch,Mumbai,Media Tech,AI based Video object detection and Tagging platform,400000.0,Series A,2020
Ewar,Bengaluru,Gaming,E-sports and real-time gaming startup,200000.0,Series A,2020
Setu,Bengaluru,Fintech,"Offers open APIs across four categories: bills, savings, credit, and payments.",14259000.0,Series A,2020
Wellthy Therapeutics,Bengaluru,Healthtech,It offers a digital therapeutics service,4000000.0,Pre series A,2020
Power Gummies,New Delhi,Health,Offers health supplements related gummies,3000000.0,Series A,2020
Locale ai,Bengaluru,Location Analytics,It helps companies with moving assets  increase revenues and demand using real time location data and analytics,3000000.0,Series A,2020
FarEye,New Delhi,Logistics,"It enables businesses to execute, track, predict and oprimize the movements of goods",24500000.0,Series D,2020
Rebel Foods,Mumbai,Food tech,It runs internet kitchen,50000000.0,Series A,2020
